Nombre beneficiario;Nombre operación;Montante;pagado final;concesión/año
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF1-FRUITLOGISTICA 2011-XIX-BERLIN;1.571,05;1.571,05;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP02 - HONG KONG INT. WINE AND SPIRITS FAIR 2010;9.104,28;9.104,28;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO7 SIAL PARIS 2010, PARIS (PC);5.730,00;5.730,00;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO 4 COSMOPROF ASIA 2010 - HONG KONG - CHINA;216,01;216,01;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 - CABSAT 2011 - DUBAI (EAU);17.216,75;17.216,75;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF COSMOPROF 2011 - BOLONIA - ITALIA;944,93;944,93;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 - BIG FIVE SHOW 2010 - DUBAI (EAU);1.381,87;1.381,87;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO 1 - BIG FIVE SHOW 2010 - DUBAI (EAU);18.404,32;18.404,32;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(1)LICENSING INTERNATIONAL EXPO-11;1.670,25;1.670,25;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO7 GULFOOD 2010 - Dubai;803,59;803,59;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 FOODEX 2010, TOKIO (PI);14.986,50;14.986,50;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 PROWEIN 2011 - DÜSSELDORF;1.412,04;1.412,04;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO (3) - CHINA EDUCATION EXPO 2010 - BEIJING;2.312,26;2.312,26;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP01 FERIA GULFOOD 2011 - DUBAI (PI);15.162,08;15.162,08;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 ISM 2011, COLONIA (PI);4.409,41;4.409,41;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 PRODEXPO 2011 - MOSCÚ;14.918,57;14.918,57;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP04 FOOD AND HOTEL CHINA 2010 - SHANGHAI;4.457,66;4.457,66;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF (1)NATPE 2011;16.366,76;16.366,76;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV BÉLGICA 2010 - GUIA DE COMPRAS 2010/2011 (PI);1.287,90;1.287,90;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO4 - HONG KONG INT. WINE AND SPIRITS FAIR 2010;9.151,28;9.151,28;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPROM3 DIRECTORIO/SEPARATA EMPRESAS EN MEXICO 2010;12.448,43;12.448,43;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 VINEXPO 2011 - BURDEOS (PI);996,22;996,22;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);ENCUENTRO EMPREARIAL ESPAÑA-OMAN 2010 (OFECOMES);15.627,36;15.627,36;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);ENCUENTRO EMPREARIAL ESPAÑA-COREA DEL SUR 2010;16.754,32;16.754,32;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 COSMOPROF ASIA 2010 - HONG KONG - CHINA;756,66;756,66;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO4 - BIG FIVE SHOW 2010 - DUBAI (EAU);6.492,16;6.492,16;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 - BIG FIVE SHOW 2010 - DUBAI (EAU);19.682,97;19.682,97;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FORO ESPAÑA-VIETNAM;22.220,24;22.220,24;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(1)-CTIA Wireless 2011- Orlando, EEUU;11.205,69;11.205,69;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);NEWSLETTER FROM SPAIN Nº 11 EE.UU. - 2010 - FAMO;972,63;972,63;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO8 SIAL PARIS 2010, PARIS (PC);3.307,15;3.307,15;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(2)-CTIA Wireless 2011- Orlando, EEUU;11.205,69;11.205,69;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF(1) EFM (BERLINALE) 2011- BERLIN;13.829,61;13.829,61;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF(1) MIPTV-11- CANNES;97.769,09;97.769,09;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PAGINA WEB VINOS DE ESPAÑA 2010;303,94;303,94;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO-KIDSCREEN SUMMIT-NUEVA YORK 2011;5.601,41;5.601,41;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);EE ESPAÑA-COREA DEL SUR (complementaria);5.039,87;5.039,87;2010
